DATASET = CO2018 freestyle
NAME = Instance 5

DAYS = 50
TRUCK_CAPACITY = 15
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 10
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 100000

MACHINES = 6
1 5 180
2 3 923
3 5 97
4 7 131
5 8 869
6 5 577

LOCATIONS = 266
1 456 352
2 538 83
3 155 339
4 477 355
5 46 207
6 411 163
7 265 545
8 209 340
9 389 370
10 348 500
11 475 370
12 553 477
13 516 719
14 295 310
15 515 54
16 567 647
17 452 436
18 399 326
19 628 366
20 567 431
21 372 370
22 401 270
23 547 694
24 528 725
25 352 551
26 722 665
27 13 149
28 357 359
29 690 471
30 540 410
31 300 572
32 320 474
33 318 465
34 197 394
35 145 230
36 395 379
37 610 355
38 716 449
39 516 39
40 717 757
41 497 392
42 350 232
43 402 772
44 653 452
45 365 390
46 323 242
47 9 156
48 351 459
49 309 472
50 606 460
51 212 376
52 528 111
53 206 318
54 470 399
55 299 474
56 286 464
57 675 563
58 476 748
59 541 464
60 611 735
61 368 453
62 391 304
63 315 465
64 664 725
65 506 312
66 547 752
67 491 130
68 550 449
69 286 365
70 142 149
71 355 231
72 665 727
73 545 425
74 758 476
75 411 333
76 231 428
77 232 223
78 679 527
79 590 405
80 258 480
81 479 374
82 581 798
83 278 449
84 418 317
85 314 345
86 462 402
87 568 705
88 518 299
89 555 322
90 606 475
91 251 357
92 187 279
93 51 201
94 522 655
95 426 194
96 525 715
97 259 337
98 750 425
99 542 427
100 229 323
101 479 373
102 298 593
103 529 281
104 547 717
105 356 392
106 579 688
107 265 375
108 284 640
109 365 382
110 226 378
111 354 228
112 489 125
113 611 395
114 503 329
115 466 309
116 734 611
117 537 355
118 209 345
119 446 676
120 482 25
121 316 284
122 562 615
123 439 209
124 290 310
125 37 202
126 342 239
127 289 439
128 478 27
129 507 647
130 258 326
131 373 425
132 345 260
133 182 374
134 711 688
135 316 468
136 225 227
137 555 522
138 474 469
139 545 327
140 285 235
141 331 316
142 707 629
143 284 549
144 316 308
145 367 423
146 514 422
147 393 330
148 620 365
149 319 323
150 324 198
151 302 496
152 315 386
153 367 395
154 641 677
155 214 384
156 543 266
157 336 468
158 266 304
159 360 389
160 747 653
161 219 320
162 713 441
163 365 427
164 496 321
165 197 312
166 587 491
167 567 430
168 663 721
169 315 463
170 227 362
171 665 576
172 314 473
173 460 369
174 643 470
175 504 720
176 758 703
177 357 332
178 458 148
179 573 658
180 267 374
181 219 433
182 261 308
183 328 262
